,comment_date,user_reviews,recommended or not,spent_hours,hold_products
444,December 4,"[""I don't suffer from the bugs this games experience as other people and there are only so many things I would like to see be fixed or altered. I'm not even someone who expecting changes that would benefit my experience, but many other players experiences. The core issue of this game is the over whelming Chinese and Vietmanese players who are cheating non stop for 2k hours plus on accounts without seeing bans. This is just like the CS:GO epidemic, but far worse. CS:GO system is dodgable in terms of cheating, which the community has known for sometime now with no fix. CS:GO ATLEAST GETS PLAYERS BANNED atleast some of them while PUBG many of the cheaters that I see never get banned. They all have chinese names or vietmanese accounts... even in duos watching them cheat isn't enough for my report to mean anything. This game is awesome, but ????????????ing blows and doesn't deserve 30bucks. It doesnt deserve any money. give the game 8.5/10... give the community 1/10, all i get is chinese in my duos who don't speak a little bit of english.""]",Not Recommended,242,18
445,December 3,['PUG -'],Recommended,561.2,13
446,December 3,['Plays well now. Absolutely fun game!'],Recommended,212.2,25
447,December 3,"['GOOD DAY TO ALL', '', 'I just want to request to our lovely pubg producer to make this game smooth and low in requirements, Coz its so heavy,', 'More power to you guys <3 Jobwell , Godbless,']",Recommended,33.2,7
448,December 3,['Awesome game!'],Recommended,151.5,79
449,December 3,"['after 75 hours and growing i can say that even though my game doesn?€?t run super well and i?€?m horrible at it, i love it. it provides a more unique experience and i enjoy it more than fortnite, i think that 30 dollars is worth it and even though there are a lot of poor reviews that the devs are working to fix it, i?€?ve never had a bad match, matchmaking is super fast, even in fairly low graphics settings the game still looks amazing, and i could play it for days on end. 9/10']",Recommended,76.3,100
450,December 4,"['Product received for free', '', 'nice']",Recommended,"1,812.20",19
451,December 4,['mantul'],Recommended,66.5,4
452,December 4,['good game'],Recommended,211.4,3
453,December 4,"['Love this game, in my opinion this is the best battle royale that has a realistic style which is why I primarily like this.']",Recommended,662.6,68
454,December 4,['best game'],Recommended,260.5,13
455,December 2,['best game ever'],Recommended,84.2,7
456,December 3,['Weird flex but OK.'],Recommended,1.7,37
457,December 2,['???????????? this Goddamn game! I clocked in 600 plus hours on this??????????????????and never once used any cheat nor did anything to disrupt the gaming experience for other players and yet I got perma banned! dafuq! bluehole you can shove this game deep in your???????????????and keep it! ???????????? yall!'],Not Recommended,664.9,27
458,December 3,"[""I only have 88 hours into this game and have already lost count of the chicken dinners i've achieved. (I only play on Sanhok map in third person mode, but have acquired 20+ chicken dinners. that's appx 1 dinner every 4 hours of gameplay since i started playing). I am probably the best video game player to ever address whatever soggy gamer's???????????????is viewing this with a review."", '', 'Let me just say, this is probably the best battle royal game on the market right now. Fortnite is ????????????ing stupid and the others well... they exist, but arent populated and why would they be when PuBG is available. In terms of battle royale games, PuBG is the best.', '', 'That being said, and despite my personal ability to wake up,??????????????????excelence, and then score chicken dinners all day long solo, if you LIKE the battle royal genre, screw you and I hope you lose sleep over the fact that you are the consumer that ruined gaming.', '', 'If you have not played battle royale I recomend you stay away form it. The game is about 20% skill, 80% luck. a GOOD gamer will look at those odds and instantly be turned off, because in a perfect world, the skilled player would win the majority of the time.', '', ""Granted, if you can win any gunfight ever with absolutely any gun given to you against any gun given to your opponent like I can, then you're GOING to get more chicken dinners, so there IS an element of skill in this game. However, despite me being the best gamer in the entire world I can't tell you how many times i've died simply because the house i went into didnt HAVE a gun and my opponent was able to arm himself first. That's just ONE example of the many times that luck takes over for skill in this game/genre."", '', ""So in my final words, DON'T support lazy game devs. play REAL video games, and not this crap.""]",Not Recommended,94,80
459,December 3,"['After almost 70 hours of playing this game, I believe I can have a good view on if this game should be in your wishlist or not.', '', ""In my opinion, it's not worth your time unless you like walking/running simulators. I took a long break from this game and while the game has had many changes since then (I used to play when there was only one map, and on a mid-tier pc) I still can't recommend this game. Everyone I know that used to play this game almost daily say they dislike the experience it gives, and after spending almost half an hour running/looting as fast as possible to keep up with the circle, then immediately dying an AKM while I was at full health with a brand new level 3 helmet and armor from a supply crate, I agree with them fully."", '', ""PUBG isn't brutal/punishing enough to appeal to the hardcore audience, and it's not for the casual player to sit down and enjoy. I'll give this game and its devs a point in that they skyrocketed the appeal for battle royales but there are much better games to choose from now that deserve your time and money."", '', 'The PUBG developers also seem intent on pushing lootboxes down the players throats after a 30$ purchase (Thank god this practice is almost out of the door) while also breaking a promise to not have microstransactions until they are officially out of EA. The excuse of ""Its needed to fund development"" fails on so many levels when this game was made with the budget of 25$ when it first came out and made its money back by the truck-loads. It was just a classic case of developers wanting to milk as much money as possible while their game is at its peak popularity, its as simple as that.', '', ""With boring gameplay, questionable dev decisions and a 30$ price tag, this game is absolutely not worth opening your wallet for, and I'd recommend putting the money towards another game thats waiting on your wishlist""]",Not Recommended,69.7,415
460,December 2,"[""Trash company don't even try to deal with the desync.""]",Not Recommended,721.7,68
461,December 2,['Game is trash and runs like trash.'],Not Recommended,90.7,52
462,December 2,['ok this game good jajajaja'],Recommended,306.2,13
463,December 2,"['decent game, just im bad at it']",Recommended,22.4,40
464,December 3,"[""New update not horrible but considering I've been playing since release nothing has improved significantly besides getting paired with someone who doesnt speak any english what so ever and being region locked, down right annoying.""]",Not Recommended,"1,151.80",43
465,December 3,"['Product received for free', '', 'Gwud Gwame 7.5/10']",Recommended,9.7,34
466,December 3,"['This game is like making love with only one girl. Longer we play , ???????????????ier it ll get.']",Not Recommended,147.1,44
467,December 2,"['this game is so cancerous.', '', 'i like it']",Recommended,286.7,9
468,December 2,"['Product received for free', '', 'Best game <3']",Recommended,57.8,33
469,December 2,"[""This game has been out so long, still can't even fix the server lag desync problems, frame rate is bad still and bugs exist from last year still in the game. This whole game still feels like EA game, they should never release this game.""]",Not Recommended,650.8,97
470,December 1,['Very nice.'],Recommended,26.3,24
471,November 28,['i love this game'],Recommended,32.1,1
472,November 28,['Needs a lot of help'],Not Recommended,4.3,121
473,November 28,['how to fix the colour bug inpubg??'],Recommended,5.7,1
474,November 28,"['Quite good, would play again 8/10']",Recommended,917,474
475,November 28,"['Game had loads of potential and then went to the ?????????????????????.', '', 'Still not optomized, servers are kind of bad still, and the game is annoying.', '', 'No more hope, this is a no.']",Not Recommended,245.9,270
476,November 28,"[""I couldn't really reccomend this game to anyone you have to have a monster computer to run this game on at least medium settings. But I mean if u got a buddy with you and neither of you care about graphics and just wanna some fun I could reccomend this game. But try to play this game in burst when I first got the game I played it too much and I ended up getting burn't out on it.""]",Not Recommended,32.2,36
477,November 28,"['Ah, PUBG. This game has it?€?s ups and it?€?s downs, but I can say that overall it?€?s a big thumbs up. It?€?s got 3 very well made maps, a hilarious community, a variety of weapons (including he almighty pan), AMAZING gunplay, and it still has it?€?s charm, which is something Fortnite lost around season 3. PUBG right now is probably the best battle royale out right now. Sure, it has it?€?s bugs, it has paid skins, it has hackers, and it?€?s got some work to do, but the developers overall are pretty good. While the bugs do exist, honestly I?€?ve never noticed an abnormally large amount of bugs, exception of the vehicles which have hilariously bad physics. The paid skins are annoying, and I don?€?t like them, especially when you spend your BP on a loot crate and you need to buy a key, so you end up wasting your BP, but after all it?€?s only cosmetics, and as long as it?€?s not pay to win I can?€?t complain too much. Another point of interest is hackers, which are something this game is notorious for, but their anti cheat has gotten SO much better. I very rarely encounter hackers and I can say the Bluehole has done a great job at combatting hackers.', '', 'Now, there are some things you should know before you buy. This game has a very sweaty player base, because after Fortnite most casual players left. Personally, I got this game the other way around, because I got this game after Fortnite, but that?€?s beside the point. Anyways, because of the sweaty player base, this game takes a lot of practice and learning to get good at and after 209 hours I?€?m still only barely decent. Another thing is that this game isn?€?t an addictive game. Sometimes you go into a couple games and you?€?re destroying everyone, and you have to keep playing and it?€?s amazing. Other times you go into a couple games and you lose and want to stop playing. I go through phases with this game, but I always keep coming back and I have improved tons since I started. Finally, the last thing you should know is that this is a largely squad or duo based game. I mostly play solos, but when I play duos and squads with my friends it?€?s the most funny, most hilarious game you?€?ve ever played. Random duos or squads I don?€?t recommend, because of the high number of Chinese players, although the devs are working on better matchmaking at the moment, so hopefully it?€?s just a matter of time. They?€?ve tried a method of ping-based matchmaking, although it didn?€?t go exactly as planned and has caused some server issues for OCE players unfortunately.', '', 'Overall, PUBG is a great game, and the devs are much better than people make them out to be, so I definitely recommend it????.']",Recommended,209.8,19
478,November 28,"['You know, I really really REALLY want to like this game. It\'s a very successful battle-royale game, and it\'s a gamemode I\'ve been waiting a long time to really see be developed. However, even after waiting for the game to get better since I bought it, (about a year ago) the issues really haven\'t gotten better. I have a pretty good graphics card, the game stored on an SSD, and a half decent CPU. Even with all of this, I can\'t load into matches half of the time. The game could feel smoother with movements too. I sincerely hope that the ""Fix PUBG"" campaign is real thing, and not just some gag from the developers. I want to see this game get better. It can be a great game still. I just can\'t enjoy it until it\'s issues are fixed. If the only way to play the game successfully is to dive deep within the game\'s files, and change numerous settings on your computer + graphics card, then the game developers PROBABLY aren\'t doing something right.', '', ""Again, I really do want to like this game, but it's plagued by choppy movements, poor load times, poor matchmaking, and just several game mechanics that don't feel comfortable. This game isn't worth the money that you pay for at the moment.""]",Not Recommended,48,42
479,November 28,"['Biggest piece of junk game I\'ve played in my entire life, a year after ""release"" and this game is still garbage, it\'s only getting worse, play something better for the love of god. They literally had BIG ui defects on the main dashboard like 3 weeks ago, this game is severly broken and only gets worse. They should honestly be sued in a mass lawsuit']",Not Recommended,263.4,8
480,December 1,"['De folkstyrda staternas enade v??lde', 'f??r sekler bef??st av v??r ryska nation', 'v??r hyllning vi bringa f??r frihetens seger', 'v??r stolta, v??r m??ktiga R??dsunion', '', 'Hell dig, o fosterland, frihetens fosterland', 'l??ftet om folkens f??rbr??dring och fred', 'framtidens trosban??r, frihetens folkban??r', 't??nd oss till seger, mot seger oss led', '', 'I natt och i m??rker oss friheten lyste', 'och Lenin den starke oss visade v??g', 'i Stalin vi v??xte till trohet mot folket', 'till d??d och till framsteg han v??nde v??r h??g *', '', 'Hell dig, o fosterland, frihetens fosterland', 'l??ftet om folkens f??rbr??dring och fred', 'framtidens trosban??r, frihetens folkban??r', 't??nd oss till seger, mot seger oss led', '', 'Vi h??rdats i strid och med blicken mot d??den', 'v??r ov??n f??r k??nna v??r drabbande hand', 'i kampen gestaltar vi seklernas ??den', 'den seger som gryr f??r v??rt f??dernesland', '', 'Hell dig, o fosterland, frihetens fosterland,', 'l??ftet om folkens f??rbr??dring och fred', 'framtidens trosban??r, frihetens folkban??r', 't??nd oss till seger, mot seger oss led', '', 'Yes']",Recommended,25.1,40
481,December 3,"[""Removal of server selection made me revise my review, I'm people from Europe and NA are having a blast, but here in Asia the biggest continent, have hundreds of languages, and english is not common. Now I'm stuck playing with Chinese, who can't speak english thus preventing good squadplay. There's two of them, they are either really bad in the game, teamkilling, likes to hotdrop and play aggressive but can't hit anything, doesn't have tactical awareness and doesn't help or revive teammates. or hackers, straight up shooting you from 3 miles with headshots, can track you through objects, buildings and mountains."", '', ""I have a criteria on buying online games, and that is one, a server selection feature where I can play with english speaking people and have servers that are not ?????????????????? with tones of packetloss, I'll take the 130ping any day over 13 with connection jitters.""]",Not Recommended,407,25
482,December 2,"[""I loved playing this game during the battle royale fad but I lost intrest in the game recently. Im not saying it's a bad game but isn't as intresting anymore.""]",Recommended,165.1,174
483,December 3,"['This game is like making love with only one girl. Longer we play , ???????????????ier it ll get.']",Not Recommended,147.1,44
484,December 3,['Ya like jazz?'],Recommended,208.6,16
485,December 3,"['Horrible, clunky game only made popular because of the sad Battle Royale hype..']",Not Recommended,181.6,77
486,December 4,"[""this game is actually good the only bad thing about it is that it SUCKS !! other than that enjoy your horrible experience and don't forget to write a positive peaceful review about it""]",Recommended,0.4,19
487,December 3,"[""You should be a highly experienced player and have to invest hundreds of hours to learn the often strange mechanics, flaws (lags, desynchs) and bugs of the game. Otherwise it's no fun and you only killed all the time by players that are either very good or know the tricks of the game or both.""]",Not Recommended,241.4,65
488,December 3,"['This game is pretty unique in itself in terms of how the quality was/is,', '', ""Not many games today are created very good and get progressively worse. This is one of those rare games. During the alpha this game was lit as hell and was fun to play with the boys. Now with all these MTX additions and complete change of UI, trying to stuff buying keys down your throat; it sucks now. Oh and the game runs worse than it did since launch. I'm talking 40FPS on medium:"", '', 'i7-8th gen (quad core)', '16gb ddr4-2400', 'GTX 1050Ti (4GB)', 'SSD', 'Maxiumum power setting', '', ""Don't waste 36.99 on this, wait for it to go on sale lol.""]",Not Recommended,99.9,111
489,December 4,"['I have a mixed relationship with this game. When PUBG was launched, it was one of my favouite games, and I accumulated hundreds of hours on it. However, this game has turned for the worst. Let me elaborate.', '', 'Servers:', 'This is by far the biggest problem with PUBG right now, at least for me (keep in mind I play on OCE). If you are connecting from anywhere in OCE, region lock will not work at most times of the day. I will be placed in an asian or american server every game unless, for some reason, I am playing TPP squads at around 5:30pm. Any other gamemode, or perspective will route you to an asia or american server, resulting with high ping. Fixing this issue will make this game MUCH more enjoyable for players from this region.', '', 'Bugs:', ""This game is riddled with bugs. One of the more annoying bugs, occurs when the player jumps out of the left side of the plane, causing the player's perspective to jolt foward, which is severely annoying."", '', 'Gameplay:', 'Gameplay is what redeems PUBG for me. It is incredibly addictive for competitive players. Ignoring the bugs, high ping and other problems, gameplay is definitely the strongest assest to PUBG. Weapons and attachments are farily balanced, and the situation with the bugginess of cars has improved.', '', 'Hackers:', 'Being from OCE, I rarely come across blatant hackers, even when playing on asian and american servers. However when I do and I report them, they are usually banned within a few days. What is more questioning is the severity of the ban. I was once killed by a player who was blatantly wall hacking and aimbotting, and I reported them. They were banned, but for only a day. Questioning slightly, I let it slide as it may be the first time he was banned. However a few days later, I was killed by the same cheater, and reported him a second time. He was banned, yet for only a day again. PUBG needs to add long bans if they want the cheating situation to improve.', '', ""Overall, I would recommend this game if the problems with it were rectified and you don't play on OCE, until the servers are fixed. While the problems with it are infuriating, the gameplay it offers, in my opinion, the competitive, intense gameplay make up for it. If Bluehole actually fixed these issues, the game would be back on track.""]",Recommended,550.7,30
490,December 2,"['So after almost 450 hours on this game i have to say.', '', 'Its not bad', 'But it sure as hell aint good too.', '', ""If you're gonna get this game just know to take it with a pinch of salt."", '', 'In recent updates tho the game has gotten much better and i actually enjoy it more than ever.', 'LIke i have heard people say this is the worst game of all time and it sure as hell is not.', '', ""If you're getting this game make sure you have a duo partner or squad partners as the game is much more fun in duo/squad according to myself."", '', 'If PUBG corp can keep up the fixes and keep making good changes to the game this has potential to regain its old status ,', '', 'All in all this is a really fun game for both ppl who just wanna ???????????? around but also for people who play more competitively.', 'The game can be frustrating at times but i hardly notice any problems that seem to get brought up alot.']",Recommended,423.4,36
491,December 2,['Game had potential.. the bugs and lack of optimization killed it for me.. Ring of Elysium came close with its better polish & character control.'],Not Recommended,34.5,99
492,December 2,"['Product received for free', '', '<3']",Recommended,476.3,13
493,December 2,"['decent game, just im bad at it']",Recommended,22.4,40
494,December 1,"['Great game, but unfortunately the game often lag and disconnected at random times. And it appears happen to many players too.', '', 'Edit: I kinda tinker with firewall settings and it quite help a bit']",Recommended,7.6,1
495,December 2,['best game ever'],Recommended,84.2,7
496,December 2,"[""Trash company don't even try to deal with the desync.""]",Not Recommended,721.7,68
497,December 2,['Game is trash and runs like trash.'],Not Recommended,90.7,52
498,December 2,['???????????? this Goddamn game! I clocked in 600 plus hours on this??????????????????and never once used any cheat nor did anything to disrupt the gaming experience for other players and yet I got perma banned! dafuq! bluehole you can shove this game deep in your???????????????and keep it! ???????????? yall!'],Not Recommended,664.9,27
499,December 2,"[""This game has been out so long, still can't even fix the server lag desync problems, frame rate is bad still and bugs exist from last year still in the game. This whole game still feels like EA game, they should never release this game.""]",Not Recommended,650.8,97
500,December 2,"['A pragmatic and objective review:', "". Overall - The game is frustrating at times, but generally quite fun (it's better with friends!)"", "". It has some bugs, but in my six months of playing, things have steadily improved. There's a definite ebb-and-flow to stability; you'll need to be patient as unexpected bugs occur occasionally (usually after major updates, but that's pretty standard for the tech industry in general), but generally it's quite playable."", "". The community of this game is definitely competitive, and at times can be quite judgemental, but there are definitely good people here too. (I recommend finding a discord server that's associated/affiliated with PUBG)."", '. Driving cars is pretty fun, you can do a lot with them in game.', '. The projectile physics seem pretty spot-on, and the weapons seem well balanced.', "". Loot spawning for the larger maps isn't balanced at the time of this review. It's pretty bad -- you better be prepared to play the game with a pistol sometimes!"", '', 'Regardless of its shortcomings, definitely a fun and addictive game!']",Recommended,984.7,21
501,December 2,['PUBG is many fun! :upvoted:'],Recommended,380.3,59
502,December 2,"[""Don't understand the hype... Slow paced game with terrible mechanics. Incredibly boring game.""]",Not Recommended,3.8,81
503,December 2,"['Product received for free', '', '<3']",Recommended,476.3,13
504,December 2,['Good game design. Poor implementation. Could be better if u hire me XD'],Recommended,153.2,82
505,December 2,"['decent game, just im bad at it']",Recommended,22.4,40
506,December 2,['best game ever'],Recommended,84.2,7
507,December 2,['???????????? this Goddamn game! I clocked in 600 plus hours on this??????????????????and never once used any cheat nor did anything to disrupt the gaming experience for other players and yet I got perma banned! dafuq! bluehole you can shove this game deep in your???????????????and keep it! ???????????? yall!'],Not Recommended,664.9,27
508,December 3,"[""I only have 88 hours into this game and have already lost count of the chicken dinners i've achieved. (I only play on Sanhok map in third person mode, but have acquired 20+ chicken dinners. that's appx 1 dinner every 4 hours of gameplay since i started playing). I am probably the best video game player to ever address whatever soggy gamer's???????????????is viewing this with a review."", '', 'Let me just say, this is probably the best battle royal game on the market right now. Fortnite is ????????????ing stupid and the others well... they exist, but arent populated and why would they be when PuBG is available. In terms of battle royale games, PuBG is the best.', '', 'That being said, and despite my personal ability to wake up,??????????????????excelence, and then score chicken dinners all day long solo, if you LIKE the battle royal genre, screw you and I hope you lose sleep over the fact that you are the consumer that ruined gaming.', '', 'If you have not played battle royale I recomend you stay away form it. The game is about 20% skill, 80% luck. a GOOD gamer will look at those odds and instantly be turned off, because in a perfect world, the skilled player would win the majority of the time.', '', ""Granted, if you can win any gunfight ever with absolutely any gun given to you against any gun given to your opponent like I can, then you're GOING to get more chicken dinners, so there IS an element of skill in this game. However, despite me being the best gamer in the entire world I can't tell you how many times i've died simply because the house i went into didnt HAVE a gun and my opponent was able to arm himself first. That's just ONE example of the many times that luck takes over for skill in this game/genre."", '', ""So in my final words, DON'T support lazy game devs. play REAL video games, and not this crap.""]",Not Recommended,94,80
509,December 3,"['After almost 70 hours of playing this game, I believe I can have a good view on if this game should be in your wishlist or not.', '', ""In my opinion, it's not worth your time unless you like walking/running simulators. I took a long break from this game and while the game has had many changes since then (I used to play when there was only one map, and on a mid-tier pc) I still can't recommend this game. Everyone I know that used to play this game almost daily say they dislike the experience it gives, and after spending almost half an hour running/looting as fast as possible to keep up with the circle, then immediately dying an AKM while I was at full health with a brand new level 3 helmet and armor from a supply crate, I agree with them fully."", '', ""PUBG isn't brutal/punishing enough to appeal to the hardcore audience, and it's not for the casual player to sit down and enjoy. I'll give this game and its devs a point in that they skyrocketed the appeal for battle royales but there are much better games to choose from now that deserve your time and money."", '', 'The PUBG developers also seem intent on pushing lootboxes down the players throats after a 30$ purchase (Thank god this practice is almost out of the door) while also breaking a promise to not have microstransactions until they are officially out of EA. The excuse of ""Its needed to fund development"" fails on so many levels when this game was made with the budget of 25$ when it first came out and made its money back by the truck-loads. It was just a classic case of developers wanting to milk as much money as possible while their game is at its peak popularity, its as simple as that.', '', ""With boring gameplay, questionable dev decisions and a 30$ price tag, this game is absolutely not worth opening your wallet for, and I'd recommend putting the money towards another game thats waiting on your wishlist""]",Not Recommended,69.7,415
510,December 3,"['Stupid devs, stupid game, the worst anti-cheat. BORING AF.']",Not Recommended,172.8,39
511,December 3,['hi'],Recommended,630.1,3
512,December 2,"[""I loved playing this game during the battle royale fad but I lost intrest in the game recently. Im not saying it's a bad game but isn't as intresting anymore.""]",Recommended,165.1,174
513,December 2,['decent game'],Recommended,71.2,33
514,December 2,['PUBG is many fun! :upvoted:'],Recommended,380.3,59
515,December 2,"['A pragmatic and objective review:', "". Overall - The game is frustrating at times, but generally quite fun (it's better with friends!)"", "". It has some bugs, but in my six months of playing, things have steadily improved. There's a definite ebb-and-flow to stability; you'll need to be patient as unexpected bugs occur occasionally (usually after major updates, but that's pretty standard for the tech industry in general), but generally it's quite playable."", "". The community of this game is definitely competitive, and at times can be quite judgemental, but there are definitely good people here too. (I recommend finding a discord server that's associated/affiliated with PUBG)."", '. Driving cars is pretty fun, you can do a lot with them in game.', '. The projectile physics seem pretty spot-on, and the weapons seem well balanced.', "". Loot spawning for the larger maps isn't balanced at the time of this review. It's pretty bad -- you better be prepared to play the game with a pistol sometimes!"", '', 'Regardless of its shortcomings, definitely a fun and addictive game!']",Recommended,984.7,21
516,December 2,"[""Don't understand the hype... Slow paced game with terrible mechanics. Incredibly boring game.""]",Not Recommended,3.8,81
517,December 2,['ok this game good jajajaja'],Recommended,306.2,13
518,December 3,['....'],Not Recommended,31.4,34
519,December 1,['I like this game a lot. But you need to know that everybody hates the long waiting time and when you died as first'],Recommended,157.1,18
520,December 5,"['Kind of find to play with friends, but the optimisation is horrible, absolute ?????????????????????. Getting heavey frame drops even with gtx 1080. All most unplayable experiance.']",Not Recommended,81.2,15
521,December 5,['GG'],Recommended,428.8,6
522,December 4,"['Hey, for those saying that PUBG is not the first in things:', 'PUBG is definitely the first game that makes shooting in Unreal Engine feel so weird and awkward! lol']",Not Recommended,21.6,73
523,December 3,['very good game bois. 10/10 recommended'],Recommended,404.9,184
524,December 4,"['Come back to this game after 1 year, servers are too busy. Going back to Blackout']",Not Recommended,4.5,69
525,December 4,"['Best Game! Just a bit expensive btw and also, please let the home screen show when is the maintenance break.']",Recommended,10.5,1
526,December 4,"[""I hope bluehole can improve their servers. I can't even connect to the servers sometimes(Showing the server is full). Although this is a meme, I'm sure bluehole worth more than ubisoft in the nametag potato""]",Not Recommended,218.2,4
527,December 4,"[""Game is great, but there are issues with the servers. I have owned the game for about a month and played it maybe 5 or 6 times. There have been 3 times now that I can't play the game because 'servers too busy, try again later...'. Really? It's 2018, could they not have better server provisioning already?"", '', 'I reccomend the game BUT PLEASE FIX THE SERVERS!!!!']",Recommended,4.1,15
528,December 4,"[""I got this game back in August 2017 before 1.0 and boy is it a great game. By no means is it perfect, it's not the best in terms of optimization, however for a game that had to release in early access because they didn't have enough funding the game is fantastic. Coming back to the game after about a 5 month break has been super great, no hackers and very few details sync issues. The game seems like it's finally in a finished state and just needs tuning on loot to get it to perfection I love the new weapons and can't wait for the new map."", ""Overall rating 8.5/10 (It's like a 9.5 now but it took a fat minute to get there)""]",Recommended,500.8,16
529,December 4,"['A very nice shooter. Quite a variety of weapons and just the idea of the game is awesome!', '', ""The only minus I'd say is the fact that the servers mix a wide variety of player, from unexperienced players to pros. And this S*CKS! The game should create servers based on each players experience in this game. I for example, I am an unexperienced player and die really fast in this game. I f all players in a match are about the same level, everyoe would get a chance!"", '', 'Hope this review helps. Thanks!']",Recommended,13.9,5
530,December 5,['no'],Not Recommended,118.8,78
531,December 5,['MAG SALE N KYU!!!!!!!!!!!!!!!!'],Recommended,35.4,2
532,December 5,['this game is very bisexual'],Recommended,21.1,11
533,December 5,['.'],Recommended,578.7,21
534,December 5,"['5/10', '', 'Only play this if you got friends', '', 'solo is ????????????ing boring', 'and duo and sqauds is fun when we ???????????? around', '', 'games also got a??????????????????ton of hackers now']",Not Recommended,17.8,116
535,December 4,"['Product received for free', '', 'nice']",Recommended,"1,812.20",19
536,December 4,['Downtimes in EST at 730 PM. Wut.'],Not Recommended,802.7,159
537,December 4,['good game'],Recommended,60.1,12
538,December 5,"['Bring back server selection and just region lock China', 'Bring back server selection and just region lock China', 'Bring back server selection and just region lock China', 'Bring back server selection and just region lock China', 'Bring back server selection and just region lock China', 'Bring back server selection and just region lock China', 'Bring back server selection and just region lock China', 'Bring back server selection and just region lock China', 'Bring back server selection and just region lock China']",Not Recommended,415.3,10
539,December 4,"['It was a good game at start. But right now it is so full of bugs and glitches, the servers dont hace a good mainteinance so you are just stuttering around the map in a normal match.', '', 'Now I see why Fortnite win the battle-royale race!']",Not Recommended,211.6,186
540,December 1,['Takes to long for Brendan Green to listen to the players on what they want.'],Not Recommended,315.5,139
541,December 4,['mantul'],Recommended,66.5,4
542,December 1,"['De folkstyrda staternas enade v??lde', 'f??r sekler bef??st av v??r ryska nation', 'v??r hyllning vi bringa f??r frihetens seger', 'v??r stolta, v??r m??ktiga R??dsunion', '', 'Hell dig, o fosterland, frihetens fosterland', 'l??ftet om folkens f??rbr??dring och fred', 'framtidens trosban??r, frihetens folkban??r', 't??nd oss till seger, mot seger oss led', '', 'I natt och i m??rker oss friheten lyste', 'och Lenin den starke oss visade v??g', 'i Stalin vi v??xte till trohet mot folket', 'till d??d och till framsteg han v??nde v??r h??g *', '', 'Hell dig, o fosterland, frihetens fosterland', 'l??ftet om folkens f??rbr??dring och fred', 'framtidens trosban??r, frihetens folkban??r', 't??nd oss till seger, mot seger oss led', '', 'Vi h??rdats i strid och med blicken mot d??den', 'v??r ov??n f??r k??nna v??r drabbande hand', 'i kampen gestaltar vi seklernas ??den', 'den seger som gryr f??r v??rt f??dernesland', '', 'Hell dig, o fosterland, frihetens fosterland,', 'l??ftet om folkens f??rbr??dring och fred', 'framtidens trosban??r, frihetens folkban??r', 't??nd oss till seger, mot seger oss led', '', 'Yes']",Recommended,25.1,40
543,December 3,"[""Removal of server selection made me revise my review, I'm people from Europe and NA are having a blast, but here in Asia the biggest continent, have hundreds of languages, and english is not common. Now I'm stuck playing with Chinese, who can't speak english thus preventing good squadplay. There's two of them, they are either really bad in the game, teamkilling, likes to hotdrop and play aggressive but can't hit anything, doesn't have tactical awareness and doesn't help or revive teammates. or hackers, straight up shooting you from 3 miles with headshots, can track you through objects, buildings and mountains."", '', ""I have a criteria on buying online games, and that is one, a server selection feature where I can play with english speaking people and have servers that are not ?????????????????? with tones of packetloss, I'll take the 130ping any day over 13 with connection jitters.""]",Not Recommended,407,25
544,December 4,['good game'],Recommended,211.4,3
545,December 4,"['Product received for free', '', 'nice']",Recommended,"1,812.20",19
546,December 3,['Ya like jazz?'],Recommended,208.6,16
547,December 3,['Got killed by naked men trying to catch a chicken for dinner 7/10 IGN never caught the chicken for dinner.'],Recommended,48.8,37
548,December 3,['PUG -'],Recommended,561.2,13
549,December 3,['This game was and still is good'],Recommended,198.1,117
550,December 5,"['-Pretty Fun to camp in.', '-Way better than H1Z1.', '-Realistic gunplay.', '-Huge maps.', '-More Variaty than H1Z1.', '', '7/10 Recommend.', '', '', ""P.s I don't hate H1Z1 , iam just saying that PUBG is a million times better""]",Recommended,44.3,141
551,December 4,"['Good, but CS is better! <3']",Recommended,2.2,111
552,December 4,"[""I hope bluehole can improve their servers. I can't even connect to the servers sometimes(Showing the server is full). Although this is a meme, I'm sure bluehole worth more than ubisoft in the nametag potato""]",Not Recommended,218.2,4
553,December 5,"['one of my favorite games. was it perfect, no. is it perfect, absolutly not. however its still a fun game to play especially with friends, i assume i dont actually have any.']",Recommended,240.2,5
554,December 5,"['Still fun, but on the same note, its??????????????????', 'Love it or hate it.']",Recommended,"1,127.00",104
555,December 5,"['Product received for free', '', ""HEY GUYZ PLZ FIX THE GAME IT KEEPS ON GETTING ME OUT IF THE GAME IT'S REALLY BAD THEY TOLD ME TO UNINSTALL IT I DID THAN I REDOWNLOADED AND IT'S THE SAME PLZ FIX THE GAME""]",Recommended,686.1,4
